@RELATION ..\..\..\data_arff\u009-training.arff
@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,tap_left,tap_right,tap_up,tap_down,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_SideRatioFirst NUMERIC
@ATTRIBUTE Stroke_SideRatioLast NUMERIC
@ATTRIBUTE Stroke_TopRatioFirst NUMERIC
@ATTRIBUTE Stroke_TopRatioLast NUMERIC
@ATTRIBUTE Duration NUMERIC
@DATA
swipe_right,-12.10061,-5.648625,1.613415,6.213488,-5.280266,1.027023,-8.87378,6.213488,18.13241,0.1386882,-0.9903361,-0.5735765,-0.8191521,1.724919,19.74263,45.05725,1.969615,38.20525,172.2694,0,1,175.9866,110.5631,235.6829,130.3333,199.5155,121.1072,194.5408,116.2118,62.88491,-0.573572,-0.8191552,-0.1909242,0.9816048,-4.499574,6.33758,8.52571,59.17139,69.01958,69716.03,0.0270271,1,1,0.4285713,517
swipe_right,-16.94085,-6.77835,2.420122,6.77835,-6.143386,0.6517646,-16.94085,-1.694588,23.63539,0.8138149,0.5811241,-0.5735765,0.819152,-0.7801123,17.36737,36.52921,3.939231,51.79421,289.8641,1,1,177.6,99.26589,259.8842,130.3333,218.6845,114.8803,226.0024,100.9605,87.95377,-0.8529203,0.5220411,-0.1054999,0.9944193,-0.3684983,9.926197,13.09511,80.31221,107.2426,81979.59,0,0.9705881,1,0.7272729,611
swipe_right,-13.71402,-7.343213,4.033536,6.213488,-2.957927,0.9414378,-13.71402,-1.694588,22.33294,0.7833787,-0.6215448,-0.5735765,-0.8191521,1.629697,23.93151,56.38099,1.969615,58.34109,190.9461,1,1,175.9866,102.6551,226.8091,130.3333,206.339,113.5287,226.0024,104.3497,57.8707,-0.9029108,0.429828,-0.3032852,0.9528998,-0.5991306,12.85942,22.6296,46.56197,77.69306,63917.68,0.03174611,0.904762,1,0.489796,705
swipe_right,-13.71402,-6.77835,3.226829,6.77835,-2.974733,0.6001664,-9.680488,-6.77835,21.69739,-0.5735765,-0.8191521,-0.5735765,-0.8191521,4.450589,22.07841,50.908,0.9848077,48.59072,190.9461,2,1,175.9866,107.7388,234.0695,130.3333,208.682,119.7339,224.389,107.7388,62.32284,-0.573572,-0.8191552,-0.1977698,0.9802485,3.425237,18.04232,40.0203,48.55475,78.7894,67902.72,0.02777785,0.8472222,1,0.575,752
swipe_right,-14.52073,-6.77835,0.8067073,7.343213,-5.243598,0.1882874,-8.87378,-6.213488,20.84104,-8.742278E-08,-1,-0.9940197,0.1092006,-2.086516,16.15613,31.85479,7.387391,47.19896,212.1279,1,1,177.6,110.5631,241.3299,130.3333,218.3077,121.73,231.6494,118.4712,66.72598,-0.8683065,0.4960281,-0.03588488,0.9993559,2.281494,7.963861,11.82038,62.96371,81.50102,74498.66,0,0.9873416,1,0.8857145,564
swipe_right,-16.13415,-6.77835,3.226829,6.77835,-3.388171,0.8661225,-9.680488,-6.77835,23.63539,0.5735765,-0.8191521,-0.5735765,-0.8191521,6.728012,20.56413,47.60451,1.969615,53.36519,261.5869,2,1,174.3732,103.7848,238.103,130.3333,212.1876,116.2118,238.103,110.5631,69.03855,-0.5735747,-0.8191532,-0.2476671,0.9688452,5.768384,20.76062,46.77884,52.45684,89.09505,68917.27,0.05063304,0.8481014,1,0.5106382,705
swipe_right,-14.52073,-7.908075,2.420122,6.77835,-4.43689,-7.947286E-08,-14.52073,1.129725,22.42061,-0.5735765,-0.8191521,-0.5735765,-0.8191521,-1.031044,15.70097,33.15857,1.969615,65.41103,212.1279,1,1,173.5665,109.9983,230.8427,130.3333,199.9396,122.1646,196.961,111.128,60.77893,-0.5735759,-0.8191524,0,1,-4.422731,9.520666,16.19964,53.24268,76.57832,70275.12,0.07042258,1,1,1,564
swipe_right,-15.32744,-4.5189,2.420122,6.213488,-4.35622,1.092067,-15.32744,-1.694588,20.7403,0.287426,-0.9578028,-0.5735765,-0.8191521,7.697144,20.38054,45.62595,1.969615,49.25425,237.802,2,1,173.5665,104.9145,246.9768,130.3333,216.1203,115.5057,234.0695,106.6091,77.68652,-0.5735759,-0.8191524,-0.2431669,0.9699845,0.4564991,15.62162,33.64711,67.36528,90.93172,73346.98,0.05494509,0.9450549,1,0.3555558,705
swipe_right,-16.13415,-6.213488,2.420122,7.343213,-4.894024,0.4142325,-16.13415,-2.25945,22.97923,0.90291,-0.4298297,-0.5735765,-0.8191521,2.298353,20.66098,44.02527,0.9848077,54.48669,265.4158,1,1,176.7933,99.83076,254.2372,130.3333,213.8514,117.0944,221.1622,102.0902,83.23441,-0.5735632,-0.8191614,-0.08433889,0.9964371,0.03785181,14.78976,26.34692,73.67284,106.7545,79486.51,0.01041679,0.9583333,1,0.7962964,705
swipe_right,-13.71402,-6.77835,0,5.648625,-5.646951,-0.225945,-9.680488,-6.77835,18.50687,0.7000346,-0.714109,-0.5735765,0.8191521,3.904166,12.11118,24.47209,2.954423,41.60785,190.9461,0,1,177.6,115.6469,234.0695,132.5928,207.1548,126.482,209.8683,115.6469,58.95733,-0.573575,0.8191531,0.03998006,0.9992005,0.4624791,4.424454,2.676829,56.51468,66.10147,72369.38,0,1,0.8666661,1,470
swipe_up,-0.8067073,0,2.420122,9.037801,0.9859756,4.707188,1.613415,5.648625,9.596576,0.90291,-0.4298297,-0.9318138,-0.3629367,1.577496,12.57561,25.7794,6.668165,15.7352,81.68185,1,0,167.9195,87.96864,177.6,130.3333,171.469,102.768,170.3396,93.61727,43.45663,-0.9615453,-0.2746461,-0.9787593,-0.2050126,-13.55693,13.55693,24.53091,43.28407,44.4209,48528.54,1,0.08333425,1,0,423
swipe_up,-1.613415,0,2.420122,8.472938,0.4840244,4.292955,0,6.77835,9.384033,0.9318138,0.3629367,-0.5735765,0.819152,-6.661103,12.72545,22.87323,1.969615,22.71428,77.64766,0,0,172.7598,87.40378,179.2134,130.3333,176.0599,107.5848,175.1799,104.9145,43.41193,-0.5735757,0.8191525,-0.9937038,-0.112039,-12.97761,12.97761,22.44584,43.20155,44.73744,48811.02,0.7500018,0,1,0,470
swipe_up,-4.033536,0,1.613415,10.73239,-0.07333697,4.775656,0.8067073,10.73239,12.12733,0.3873301,-0.9219411,-1,-4.371139E-08,-0.1427722,19.09017,40.88721,1.129725,27.05132,115.8349,1,0,177.6,77.80112,184.0537,130.3333,180.0201,103.3141,180.8268,97.5713,52.92715,-0.7593518,0.6506802,-0.9998821,0.01535446,-15.51369,15.51369,26.98175,52.53841,56.71646,49422.03,0,0.1249991,1,0,517
swipe_up,-2.420122,0,4.840244,9.602663,1.371402,5.140249,2.420122,8.472938,12.03844,0.9318138,-0.3629367,-0.5735765,-0.8191521,-3.912286,12.75863,23.68917,3.939231,23.80632,92.86192,1,0,161.4659,78.93085,177.6,130.3333,167.2595,101.3199,166.3061,97.5713,53.8751,-0.5735759,-0.8191524,-0.9662035,-0.2577804,-16.28716,16.28716,32.00488,53.20047,57.7545,48528.54,1,0.1499998,1,0,470
swipe_up,-5.646951,0,4.033536,9.037801,0.1792683,4.5189,3.226829,6.77835,13.24363,0.1386882,-0.9903361,-0.90291,0.4298297,0.05581403,11.71509,21.78725,3.753613,35.55484,84.28495,1,0,175.9866,89.66323,184.8604,130.3333,178.8101,110.1677,180.0201,107.174,41.62692,-0.9029108,0.429828,-0.9992141,-0.03963974,-10.78808,10.78808,18.29897,40.70209,46.04031,49299.93,0.1818186,0,1,0,423
swipe_up,-4.840244,0,5.646951,9.602663,0.1613414,5.196735,5.646951,3.954038,14.21944,0.8764794,0.4814394,-0.5735765,0.8191521,0.9605517,13.61092,27.2832,2.954423,35.67529,92.86192,1,0,170.3396,78.36598,180.0201,130.3333,176.1333,100.3443,175.9866,95.31186,52.8613,-0.9615454,0.2746459,-0.9995184,-0.03103179,-12.93048,12.93048,21.76078,51.99239,58.7165,48955.17,0.7500004,0.5833335,1,0,470
swipe_up,-2.420122,0,7.260365,5.648625,2.786806,3.799984,5.646951,3.954038,11.20798,0.2874261,0.9578028,-0.9615455,-0.2746458,-0.1481053,15.29962,34.39082,2.937264,24.8468,78.55755,1,0,144.525,88.53351,177.6,130.3333,157.7684,106.4679,148.5585,103.2199,53.30273,-0.961545,-0.2746475,-0.8063895,-0.5913848,-20.27517,20.27517,43.47455,51.83576,57.61688,48528.54,1,0.07317112,1,0,517
swipe_up,-8.87378,0,1.613415,12.42698,-1.52378,5.209288,1.613415,12.42698,16.26072,0.5735765,-0.8191521,-0.5735765,0.819152,-1.56369,12.75635,24.40909,0.9848077,36.90816,157.0328,1,0,177.6,83.44975,195.3476,130.3333,187.6838,108.5861,193.7341,105.4794,50.13029,-0.5735705,0.8191562,-0.9597816,0.2807478,-8.587997,8.587997,12.5499,48.84818,56.42276,52062.58,0,0.7727271,1,0,423
swipe_up,-4.840244,0,8.067073,11.29725,1.008384,5.931057,0.8067073,9.602663,17.15304,0.774753,0.632264,-0.5735765,0.8191521,-4.915704,10.10753,21.32875,5.908847,35.81768,130.231,2,0,169.5329,82.88488,182.4402,130.3333,173.4768,103.3455,171.953,100.3956,49.1727,-0.9417732,-0.3362488,-0.985853,-0.1676125,-12.13587,12.13587,23.66941,48.12934,55.66183,49399.26,0.6250003,0,1,0,376
swipe_up,-0.8067073,0,6.453658,7.908075,1.07561,3.577462,-0.8067073,2.824313,10.73548,0.0775665,-0.9969872,-0.5735765,-0.8191521,-4.016634,9.078088,17.80347,7.878462,14.8942,65.14076,1,0,169.5329,108.8686,177.6,130.3333,171.7226,116.3732,170.3396,112.8226,22.93063,-0.8387659,-0.5444922,-0.9576514,-0.2879302,-8.579577,8.579577,15.68068,22.41397,25.1638,48528.54,1,0.2000004,1,0,282
tap_down,-1.613415,-10.16753,4.840244,7.908075,0.7490854,0.1210419,0,5.648625,19.19315,-0.8683065,-0.496028,0.5735765,-0.8191521,-1.196879,24.01505,52.51683,2.954423,51.04442,105.9817,5,1,167.1128,128.6387,178.4067,161.4008,173.0287,142.798,173.5665,160.271,34.65404,0.9728215,-0.2315561,-0.1595166,-0.9871953,-0.01059711,22.74016,43.46867,10.62323,71.95162,55812.13,0.9285719,0,0.05172391,0,658
tap_down,-3.226829,-9.037801,5.646951,8.472938,0.2520961,0.2471273,0,0,19.63084,-0.9728217,-0.2315555,1,-4.371139E-08,-6.37536,22.23829,47.71373,2.25945,52.40869,84.28495,1,1,173.5665,126.3793,184.8604,154.6224,179.166,140.7999,184.8604,152.363,30.41753,0.991677,0.1287502,-0.7000338,-0.7141097,-7.653159,19.11038,36.83138,5.648346,59.27168,57387.83,0.3571431,0,0.1399998,0,752
tap_down,-2.420122,-9.037801,6.453658,7.908075,1.26048,-0.03530387,-1.613415,1.129725,19.12869,-0.9615455,0.2746458,1,-4.371139E-08,-8.959051,22.97793,50.28733,1.129725,52.58741,81.68185,3,1,157.4323,130.3333,179.2134,156.317,170.1498,142.3948,173.5665,154.6224,33.90528,0.9615461,0.2746436,0.02799732,-0.999608,-6.238611,23.64793,48.92083,20.1756,65.83977,54584.43,0.9259264,0,0,0.02173922,752
